dataset, model, attack, eps, defense, date, acc
fmnist, C, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.4273366834170854
fmnist, D, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.7662311557788944
fmnist, E, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.7648241206030151
fmnist, F, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.7691457286432161
fmnist, E, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.6857286432160804
fmnist, E, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.4878391959798995
fmnist, F, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.7094472361809046
fmnist, C, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.7728643216080402
fmnist, E, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.29688442211055277
fmnist, F, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.544321608040201
fmnist, D, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.6918592964824121
fmnist, F, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.4
fmnist, B, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.6615075376884422
fmnist, A, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.7748743718592965
fmnist, B, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.6384924623115578
fmnist, A, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.7029145728643216
fmnist, C, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.7053266331658291
fmnist, B, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.5473366834170854
fmnist, A, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.5429145728643217
fmnist, E, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.7650251256281407
fmnist, D, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.46412060301507535
fmnist, B, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.4045226130653266
fmnist, A, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.3551758793969849
fmnist, F, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.7704522613065327
fmnist, C, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.5537688442211055
fmnist, D, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.23236180904522613
fmnist, E, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.6806030150753769
fmnist, B, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.6941708542713568
fmnist, A, bpda_pgd, 0.05, defense_gan, 2021-11-17 00:09, 0.7649246231155779
fmnist, F, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.6877386934673367
fmnist, C, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.4004020100502513
fmnist, D, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.7653266331658292
fmnist, E, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.4705527638190955
fmnist, B, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.6431155778894473
fmnist, A, bpda_pgd, 0.1, defense_gan, 2021-11-17 00:09, 0.6943718592964824
fmnist, F, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.5238190954773869
fmnist, D, bpda_mim, 0.1, defense_gan, 2021-11-17 00:09, 0.6890452261306532
fmnist, C, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.7619095477386935
fmnist, E, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.2764824120603015
fmnist, D, bpda_mim, 0.2, defense_gan, 2021-11-17 00:09, 0.4625125628140703
fmnist, F, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.35969849246231156
fmnist, B, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.5250251256281407
fmnist, C, bpda_mim, 0.1, defense_gan, 2021-11-17 00:09, 0.7050251256281407
fmnist, A, bpda_pgd, 0.2, defense_gan, 2021-11-17 00:09, 0.513467336683417
fmnist, D, bpda_mim, 0.3, defense_gan, 2021-11-17 00:09, 0.23457286432160804
fmnist, E, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.7658291457286432
fmnist, C, bpda_mim, 0.2, defense_gan, 2021-11-17 00:09, 0.5477386934673367
fmnist, F, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.7614070351758794
fmnist, A, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.33195979899497485
fmnist, B, bpda_pgd, 0.3, defense_gan, 2021-11-17 00:09, 0.37959798994974875
fmnist, E, bpda_mim, 0.1, defense_gan, 2021-11-17 00:09, 0.6782914572864321
fmnist, D, bpda_bim, 0.05, defense_gan, 2021-11-17 00:09, 0.8091457286432161
fmnist, C, bpda_mim, 0.3, defense_gan, 2021-11-17 00:09, 0.38552763819095476
fmnist, F, bpda_mim, 0.1, defense_gan, 2021-11-17 00:09, 0.6844221105527638
fmnist, A, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.7691457286432161
fmnist, B, bpda_mim, 0.05, defense_gan, 2021-11-17 00:09, 0.6699497487437186
fmnist, D, bpda_bim, 0.1, defense_gan, 2021-11-17 00:09, 0.7911557788944724
fmnist, E, bpda_mim, 0.2, defense_gan, 2021-11-17 00:09, 0.4708542713567839
fmnist, C, bpda_bim, 0.05, defense_gan, 2021-11-17 00:09, 0.8024120603015076
fmnist, F, bpda_mim, 0.2, defense_gan, 2021-11-17 00:09, 0.5210050251256282
